caseId,contractId,contractArm,track,scenarioId,httpStatus,structural,measurementAdmissibility,measurementLimited,semanticVerdict,reason,responseBytes,responseSha256
ESSENTIAL12x7-V2-E1-1-valid-new-tcatbal,E1-1,zero-shot,posting,valid-new-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,355,74dc2840235ddc29112a68f70ee417930af9423dbe80f9d3565009a91001b3f7
ESSENTIAL12x7-V2-E1-1-valid-existing-tcatbal,E1-1,zero-shot,posting,valid-existing-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,287,5e6a5736be208b7ba9fe60785dbf3b7b08630630d078218edabb4a776f0409fd
ESSENTIAL12x7-V2-E1-1-reject-card-missing,E1-1,zero-shot,posting,reject-card-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,287,c0a94294df314635433371fa10f37f53b999ae45b15d73df2b2e8dbc9e92ade2
ESSENTIAL12x7-V2-E1-1-reject-account-missing,E1-1,zero-shot,posting,reject-account-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,287,c0a94294df314635433371fa10f37f53b999ae45b15d73df2b2e8dbc9e92ade2
ESSENTIAL12x7-V2-E1-1-reject-limit,E1-1,zero-shot,posting,reject-limit,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,287,c0a94294df314635433371fa10f37f53b999ae45b15d73df2b2e8dbc9e92ade2
ESSENTIAL12x7-V2-E1-1-reject-expiry,E1-1,zero-shot,posting,reject-expiry,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,287,c0a94294df314635433371fa10f37f53b999ae45b15d73df2b2e8dbc9e92ade2
ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,E1-1,zero-shot,interest,rates-specific-default-zero,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,1664,98d3763b9e6a4624fa6eaf0d876d1ab1594753df986c64e814b498c607278acd
ESSENTIAL12x7-V2-E1-1-single-final-eof,E1-1,zero-shot,interest,single-final-eof,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,780,3c96202ab54c8f6b8c3a271e2c448e8e2aa9c8fd85b2198ad7b600379d6c5100
ESSENTIAL12x7-V2-E1-1-date-boundaries-in-out-v1,E1-1,zero-shot,reporting,date-boundaries-in-out-v1,200,schema_valid,admissible_preparatory,False,inconclusive,TRANREPT-SRC-TOTALS-FINANCIAL-CORRECTNESS=not_observable,1683,627b25bdfcffa7635c2ef31583411558b3dd0d1ac6ca7643c167fceb2b21495c
ESSENTIAL12x7-V2-E1-1-empty-in-range-v1,E1-1,zero-shot,reporting,empty-in-range-v1,200,schema_valid,admissible_preparatory,False,failed,report_empty,155,8b8a5ddb2c29ff9988fa16e611db7de1e54881c6b4b77f07616981233270d65f
ESSENTIAL12x7-V2-E1-1-card-break-two-groups-v1,E1-1,zero-shot,reporting,card-break-two-groups-v1,200,schema_valid,admissible_preparatory,False,inconclusive,qualified extractor error: InvalidOperation: [<class 'decimal.ConversionSyntax'>],3404,0be7144d146dc751e23f6feb0a1248782ad653cea8669dcdfe9a530ec3c1f38e
ESSENTIAL12x7-V2-E1-1-pagination-threshold-20-v1,E1-1,zero-shot,reporting,pagination-threshold-20-v1,200,schema_valid,admissible_preparatory,False,inconclusive,qualified extractor error: InvalidOperation: [<class 'decimal.ConversionSyntax'>],11808,f6538e03221a6cac0bda0b3a45ad3b502b3f39945f99cb8dbd4b2f5d8f1dbc71
ESSENTIAL12x7-V2-E1-2-valid-new-tcatbal,E1-2,zero-shot,posting,valid-new-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,334,1edea239fc618e20a16c9f04b854404a5f003af764d2f1d69497417b351b2ac4
ESSENTIAL12x7-V2-E1-2-valid-existing-tcatbal,E1-2,zero-shot,posting,valid-existing-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,266,0f065fe685fb4e23e0e84b5c661f07db3e03ea455caeb8200d35d5c47fbeb97b
ESSENTIAL12x7-V2-E1-2-reject-card-missing,E1-2,zero-shot,posting,reject-card-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,266,113fa99c1abac38421671d339c60dd24c8a2677807d79c15047ca150de66145d
ESSENTIAL12x7-V2-E1-2-reject-account-missing,E1-2,zero-shot,posting,reject-account-missing,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,266,113fa99c1abac38421671d339c60dd24c8a2677807d79c15047ca150de66145d
ESSENTIAL12x7-V2-E1-2-reject-limit,E1-2,zero-shot,posting,reject-limit,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,266,113fa99c1abac38421671d339c60dd24c8a2677807d79c15047ca150de66145d
ESSENTIAL12x7-V2-E1-2-reject-expiry,E1-2,zero-shot,posting,reject-expiry,200,schema_valid,admissible_preparatory,False,pass,posting expected_reject matched actual TRANFILE.after/DALYREJS bytes,266,113fa99c1abac38421671d339c60dd24c8a2677807d79c15047ca150de66145d
ESSENTIAL12x7-V2-E1-2-rates-specific-default-zero,E1-2,zero-shot,interest,rates-specific-default-zero,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,1672,3f6d2f5a0069ad54ec1e21e7e1a125afd1442829fe5528ceb8f8e5693b817c9f
ESSENTIAL12x7-V2-E1-2-single-final-eof,E1-2,zero-shot,interest,single-final-eof,200,schema_valid,admissible_preparatory,False,pass,interest formula matched source-derived balances/rates and actual TRANSACT bytes,788,d6be62b20f6f978a78077e003803b0f04622db81d52d6d26097f35cea11929e2
ESSENTIAL12x7-V2-E1-2-date-boundaries-in-out-v1,E1-2,zero-shot,reporting,date-boundaries-in-out-v1,200,schema_valid,admissible_preparatory,False,inconclusive,TRANREPT-SRC-TOTALS-FINANCIAL-CORRECTNESS=not_observable,1700,07c39389c1d05bd928cb24b0d09e6435964ac779857465b853adf160634bfbaf
ESSENTIAL12x7-V2-E1-2-empty-in-range-v1,E1-2,zero-shot,reporting,empty-in-range-v1,200,schema_valid,admissible_preparatory,False,failed,report_empty,172,c0cda0b69001b5fda6c59d2582bd467f3b857eb98a2cfd0092755bf1ea240567
ESSENTIAL12x7-V2-E1-2-card-break-two-groups-v1,E1-2,zero-shot,reporting,card-break-two-groups-v1,200,schema_valid,admissible_preparatory,False,inconclusive,qualified extractor error: InvalidOperation: [<class 'decimal.ConversionSyntax'>],3421,419756d4bacf40e012fe7b1ee46b4237454683aae5b3f2870e9cb63288a8df86
ESSENTIAL12x7-V2-E1-2-pagination-threshold-20-v1,E1-2,zero-shot,reporting,pagination-threshold-20-v1,200,schema_valid,admissible_preparatory,False,inconclusive,qualified extractor error: InvalidOperation: [<class 'decimal.ConversionSyntax'>],11825,9a17aeaef41828445b3f6de071e94e9f2b1cce3dea6bab2e0ac5674714460994
ESSENTIAL12x7-V2-E1-3-valid-new-tcatbal,E1-3,zero-shot,posting,valid-new-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,368,ad0ecd8f0e463abdd9db9c07b359aa5d16c379eb6781a742ce59881e612498fc
ESSENTIAL12x7-V2-E1-3-valid-existing-tcatbal,E1-3,zero-shot,posting,valid-existing-tcatbal,200,schema_valid,admissible_preparatory,False,pass,posting expected_accept matched actual TRANFILE.after/DALYREJS bytes,300,5c91e43f43f07c2eb0c88eac4b736a7b4899511067f1b080a12ef8c06e79a735
