case_id,contractId,arm,track,operationId,scenarioId,program,source_sha256,line_executed,line_total,line_percent,branch_executed,branch_total,branch_executed_percent,branch_taken,branch_taken_percent,gcov_path
ESSENTIAL12x7-V2-E1-1-valid-new-tcatbal,E1-1,zero-shot,posting,postDailyTransactions,valid-new-tcatbal,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,638,1120,56.96,238,288,82.64,177,61.46,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-valid-new-tcatbal/replay/applications/0001-39bd364c6ae0dd2e/zero-shot-runs/p2b-runs/posting-0cbqnd9q/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-1-valid-existing-tcatbal,E1-1,zero-shot,posting,postDailyTransactions,valid-existing-tcatbal,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,628,1120,56.07,234,288,81.25,170,59.03,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-valid-existing-tcatbal/replay/applications/0001-6969150b95ebdf50/zero-shot-runs/p2b-runs/posting-67xb2_up/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-1-reject-card-missing,E1-1,zero-shot,posting,postDailyTransactions,reject-card-missing,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,508,1120,45.36,188,288,65.28,140,48.61,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-reject-card-missing/replay/applications/0001-02b8f4d260be7a64/zero-shot-runs/p2b-runs/posting-xxki2b97/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-1-reject-account-missing,E1-1,zero-shot,posting,postDailyTransactions,reject-account-missing,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,522,1120,46.61,194,288,67.36,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-reject-account-missing/replay/applications/0001-3768aefb3b67debe/zero-shot-runs/p2b-runs/posting-hjdxj904/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-1-reject-limit,E1-1,zero-shot,posting,postDailyTransactions,reject-limit,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,531,1120,47.41,196,288,68.06,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-reject-limit/replay/applications/0001-0c3a7e5acfa2903b/zero-shot-runs/p2b-runs/posting-pxn1nqsl/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-1-reject-expiry,E1-1,zero-shot,posting,postDailyTransactions,reject-expiry,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,531,1120,47.41,196,288,68.06,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-reject-expiry/replay/applications/0001-f8db41b6473077a9/zero-shot-runs/p2b-runs/posting-70viw8en/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,E1-1,zero-shot,interest,generateInterestTransactions,rates-specific-default-zero,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/gcov/CBACT04C.c.gcov
ESSENTIAL12x7-V2-E1-1-single-final-eof,E1-1,zero-shot,interest,generateInterestTransactions,single-final-eof,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,566,1029,55.0,204,266,76.69,150,56.39,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-single-final-eof/replay/applications/0001-36434386638a5dfe/zero-shot-runs/p2b-runs/interest-lzux_x5m/gcov/CBACT04C.c.gcov
ESSENTIAL12x7-V2-E1-1-date-boundaries-in-out-v1,E1-1,zero-shot,reporting,generateTransactionReport,date-boundaries-in-out-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,655,1192,54.95,216,272,79.41,158,58.09,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-date-boundaries-in-out-v1/replay/applications/0001-ab677b8be7894864/zero-shot-runs/p2b-runs/reporting-xkqjho0a/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-1-empty-in-range-v1,E1-1,zero-shot,reporting,generateTransactionReport,empty-in-range-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,504,1192,42.28,164,272,60.29,119,43.75,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-empty-in-range-v1/replay/applications/0001-f4a71fcb1f5979ae/zero-shot-runs/p2b-runs/reporting-hmphdvw8/gcov/CBTRN03C.c.gcov
