scope,name,program,source_sha256,line_executed,line_total,line_percent,branch_executed,branch_total,branch_executed_percent,branch_taken,branch_taken_percent
program,CBACT04C,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66
program,CBTRN02C,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,686,1120,61.25,262,288,90.97,200,69.44
program,CBTRN03C,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,763,1192,64.01,238,272,87.5,180,66.18
contract_program,E1-1,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66
contract_program,E1-1,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,686,1120,61.25,262,288,90.97,200,69.44
contract_program,E1-1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,763,1192,64.01,238,272,87.5,180,66.18
contract_program,E1-2,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66
contract_program,E1-2,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,686,1120,61.25,262,288,90.97,200,69.44
contract_program,E1-2,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,763,1192,64.01,238,272,87.5,180,66.18
contract_program,E1-3,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66
contract_program,E1-3,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,686,1120,61.25,262,288,90.97,200,69.44
contract_program,E1-3,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,763,1192,64.01,238,272,87.5,180,66.18
contract_program,E2-1,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66
contract_program,E2-1,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,686,1120,61.25,262,288,90.97,200,69.44
contract_program,E2-1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,655,1192,54.95,216,272,79.41,158,58.09
contract_program,E2-2,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66
contract_program,E2-2,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,686,1120,61.25,262,288,90.97,200,69.44
contract_program,E2-2,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,655,1192,54.95,216,272,79.41,158,58.09
contract_program,E2-3,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66
contract_program,E2-3,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,686,1120,61.25,262,288,90.97,200,69.44
