arm,contract_id,track,condition,status,count
SDD,E3-SDD-stage6r3,interest,T1,200,1
SDD,E3-SDD-stage6r3,interest,T1,400,3
SDD,E3-SDD-stage6r3,interest,T2,200,6
SDD,E3-SDD-stage6r3,interest,T2,400,150
SDD,E3-SDD-stage6r3,interest,T3,200,28
SDD,E3-SDD-stage6r3,interest,T4,200,35
SDD,E3-SDD-stage6r3,interest,T4,400,153
SDD,E3-SDD-stage6r3,posting,T1,200,1
SDD,E3-SDD-stage6r3,posting,T1,400,3
SDD,E3-SDD-stage6r3,posting,T2,200,6
SDD,E3-SDD-stage6r3,posting,T2,400,150
SDD,E3-SDD-stage6r3,posting,T3,200,17
SDD,E3-SDD-stage6r3,posting,T4,200,24
SDD,E3-SDD-stage6r3,posting,T4,400,153
SDD,E3-SDD-stage6r3,reporting,T1,200,1
SDD,E3-SDD-stage6r3,reporting,T1,400,3
SDD,E3-SDD-stage6r3,reporting,T2,200,6
SDD,E3-SDD-stage6r3,reporting,T2,400,150
SDD,E3-SDD-stage6r3,reporting,T3,200,77
SDD,E3-SDD-stage6r3,reporting,T4,200,84
SDD,E3-SDD-stage6r3,reporting,T4,400,153
few-shot,E2-1,interest,T1,200,3
few-shot,E2-1,interest,T1,400,3
few-shot,E2-1,interest,T2,200,23
few-shot,E2-1,interest,T2,400,116
few-shot,E2-1,interest,T2,500,161
few-shot,E2-1,interest,T4,200,26
few-shot,E2-1,interest,T4,400,119
few-shot,E2-1,interest,T4,500,161
few-shot,E2-1,posting,T1,200,3
few-shot,E2-1,posting,T1,400,3
few-shot,E2-1,posting,T2,200,67
few-shot,E2-1,posting,T2,400,137
few-shot,E2-1,posting,T2,500,96
few-shot,E2-1,posting,T3,200,4
few-shot,E2-1,posting,T4,200,74
few-shot,E2-1,posting,T4,400,140
few-shot,E2-1,posting,T4,500,96
few-shot,E2-1,reporting,T1,200,3
few-shot,E2-1,reporting,T1,400,2
few-shot,E2-1,reporting,T1,500,1
few-shot,E2-1,reporting,T2,200,30
