arm,condition,track,business_program,admissible_cases,gcov_files,missing_gcov_files,union_executed_lines,union_total_lines,union_line_coverage
SDD,T1,interest,CBACT04C,1,1,0,585,1029,0.568513
SDD,T1,posting,CBTRN02C,1,1,0,651,1120,0.58125
SDD,T1,reporting,CBTRN03C,1,1,0,655,1192,0.549497
SDD,T2,interest,CBACT04C,6,6,0,585,1029,0.568513
SDD,T2,posting,CBTRN02C,6,6,0,651,1120,0.58125
SDD,T2,reporting,CBTRN03C,6,6,0,655,1192,0.549497
SDD,T3,interest,CBACT04C,28,28,0,585,1029,0.568513
SDD,T3,posting,CBTRN02C,17,17,0,651,1120,0.58125
SDD,T3,reporting,CBTRN03C,77,77,0,655,1192,0.549497
SDD,T4,interest,CBACT04C,35,35,0,585,1029,0.568513
SDD,T4,posting,CBTRN02C,24,24,0,651,1120,0.58125
SDD,T4,reporting,CBTRN03C,84,84,0,655,1192,0.549497
few-shot,T1,interest,CBACT04C,5,5,0,585,1029,0.568513
few-shot,T1,posting,CBTRN02C,5,5,0,508,1120,0.453571
few-shot,T1,reporting,CBTRN03C,7,7,0,576,1192,0.483221
few-shot,T2,interest,CBACT04C,37,37,0,585,1029,0.568513
few-shot,T2,posting,CBTRN02C,81,81,0,508,1120,0.453571
few-shot,T2,reporting,CBTRN03C,41,41,0,528,1192,0.442953
few-shot,T3,interest,CBACT04C,18,18,0,585,1029,0.568513
few-shot,T3,posting,CBTRN02C,14,14,0,651,1120,0.58125
few-shot,T3,reporting,CBTRN03C,56,56,0,655,1192,0.549497
few-shot,T4,interest,CBACT04C,60,60,0,585,1029,0.568513
few-shot,T4,posting,CBTRN02C,100,100,0,651,1120,0.58125
few-shot,T4,reporting,CBTRN03C,104,104,0,714,1192,0.598993
zero-shot,T3,interest,CBACT04C,54,54,0,585,1029,0.568513
zero-shot,T3,posting,CBTRN02C,18,18,0,651,1120,0.58125
zero-shot,T3,reporting,CBTRN03C,56,56,0,655,1192,0.549497
zero-shot,T4,interest,CBACT04C,54,54,0,585,1029,0.568513
zero-shot,T4,posting,CBTRN02C,18,18,0,651,1120,0.58125
zero-shot,T4,reporting,CBTRN03C,56,56,0,655,1192,0.549497
