arm,contract_id,condition,track,business_program,admissible_cases,gcov_files,missing_gcov_files,union_executed_lines,union_total_lines,union_line_coverage
SDD,E3-SDD-stage6r3,T1,interest,CBACT04C,1,1,0,585,1029,0.568513
SDD,E3-SDD-stage6r3,T1,posting,CBTRN02C,1,1,0,651,1120,0.58125
SDD,E3-SDD-stage6r3,T1,reporting,CBTRN03C,1,1,0,655,1192,0.549497
SDD,E3-SDD-stage6r3,T2,interest,CBACT04C,6,6,0,585,1029,0.568513
SDD,E3-SDD-stage6r3,T2,posting,CBTRN02C,6,6,0,651,1120,0.58125
SDD,E3-SDD-stage6r3,T2,reporting,CBTRN03C,6,6,0,655,1192,0.549497
SDD,E3-SDD-stage6r3,T3,interest,CBACT04C,28,28,0,585,1029,0.568513
SDD,E3-SDD-stage6r3,T3,posting,CBTRN02C,17,17,0,651,1120,0.58125
SDD,E3-SDD-stage6r3,T3,reporting,CBTRN03C,77,77,0,655,1192,0.549497
SDD,E3-SDD-stage6r3,T4,interest,CBACT04C,35,35,0,585,1029,0.568513
SDD,E3-SDD-stage6r3,T4,posting,CBTRN02C,24,24,0,651,1120,0.58125
SDD,E3-SDD-stage6r3,T4,reporting,CBTRN03C,84,84,0,655,1192,0.549497
few-shot,E2-1,T1,interest,CBACT04C,3,3,0,585,1029,0.568513
few-shot,E2-1,T1,posting,CBTRN02C,3,3,0,508,1120,0.453571
few-shot,E2-1,T1,reporting,CBTRN03C,4,4,0,576,1192,0.483221
few-shot,E2-1,T2,interest,CBACT04C,23,23,0,585,1029,0.568513
few-shot,E2-1,T2,posting,CBTRN02C,67,67,0,508,1120,0.453571
few-shot,E2-1,T2,reporting,CBTRN03C,30,30,0,528,1192,0.442953
few-shot,E2-1,T3,posting,CBTRN02C,4,4,0,651,1120,0.58125
few-shot,E2-1,T3,reporting,CBTRN03C,28,28,0,655,1192,0.549497
few-shot,E2-1,T4,interest,CBACT04C,26,26,0,585,1029,0.568513
few-shot,E2-1,T4,posting,CBTRN02C,74,74,0,651,1120,0.58125
few-shot,E2-1,T4,reporting,CBTRN03C,62,62,0,714,1192,0.598993
few-shot,E2-2,T3,interest,CBACT04C,18,18,0,585,1029,0.568513
few-shot,E2-2,T3,posting,CBTRN02C,6,6,0,651,1120,0.58125
few-shot,E2-2,T4,interest,CBACT04C,18,18,0,585,1029,0.568513
few-shot,E2-2,T4,posting,CBTRN02C,6,6,0,651,1120,0.58125
few-shot,E2-3,T1,interest,CBACT04C,2,2,0,585,1029,0.568513
few-shot,E2-3,T1,posting,CBTRN02C,2,2,0,508,1120,0.453571
few-shot,E2-3,T1,reporting,CBTRN03C,3,3,0,528,1192,0.442953
few-shot,E2-3,T2,interest,CBACT04C,14,14,0,585,1029,0.568513
few-shot,E2-3,T2,posting,CBTRN02C,14,14,0,508,1120,0.453571
few-shot,E2-3,T2,reporting,CBTRN03C,11,11,0,528,1192,0.442953
few-shot,E2-3,T3,posting,CBTRN02C,4,4,0,651,1120,0.58125
few-shot,E2-3,T3,reporting,CBTRN03C,28,28,0,655,1192,0.549497
few-shot,E2-3,T4,interest,CBACT04C,16,16,0,585,1029,0.568513
few-shot,E2-3,T4,posting,CBTRN02C,20,20,0,651,1120,0.58125
few-shot,E2-3,T4,reporting,CBTRN03C,42,42,0,682,1192,0.572148
zero-shot,E1-1,T3,interest,CBACT04C,18,18,0,585,1029,0.568513
zero-shot,E1-1,T3,posting,CBTRN02C,6,6,0,651,1120,0.58125
zero-shot,E1-1,T4,interest,CBACT04C,18,18,0,585,1029,0.568513
zero-shot,E1-1,T4,posting,CBTRN02C,6,6,0,651,1120,0.58125
zero-shot,E1-2,T3,interest,CBACT04C,18,18,0,585,1029,0.568513
zero-shot,E1-2,T3,posting,CBTRN02C,6,6,0,651,1120,0.58125
zero-shot,E1-2,T3,reporting,CBTRN03C,28,28,0,655,1192,0.549497
zero-shot,E1-2,T4,interest,CBACT04C,18,18,0,585,1029,0.568513
zero-shot,E1-2,T4,posting,CBTRN02C,6,6,0,651,1120,0.58125
zero-shot,E1-2,T4,reporting,CBTRN03C,28,28,0,655,1192,0.549497
zero-shot,E1-3,T3,interest,CBACT04C,18,18,0,585,1029,0.568513
zero-shot,E1-3,T3,posting,CBTRN02C,6,6,0,651,1120,0.58125
zero-shot,E1-3,T3,reporting,CBTRN03C,28,28,0,655,1192,0.549497
zero-shot,E1-3,T4,interest,CBACT04C,18,18,0,585,1029,0.568513
zero-shot,E1-3,T4,posting,CBTRN02C,6,6,0,651,1120,0.58125
zero-shot,E1-3,T4,reporting,CBTRN03C,28,28,0,655,1192,0.549497
