suite_id,contract_id,arm,condition,frozen_cases,path,sha256,bytes
E1-1-T1,E1-1,zero-shot,T1,10,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-1/T1.json,a41983e0a5898c1035d5fbd5b20c373c743d1f21328ae022227bd89d58d9e1bf,21204
E1-1-T2,E1-1,zero-shot,T2,900,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-1/T2.json,320969f0cf969b8a7935afbc4113e4fa54a1e8d4981ca16e8ecd63a4cb7aedec,2765994
E1-1-T3,E1-1,zero-shot,T3,52,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-1/T3.json,de22281bdc51a7f9bc78b689857ba1383feb581df59567411274c4d50d948cf6,368850
E1-1-T4,E1-1,zero-shot,T4,962,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-1/T4.json,62783c8cb6b6226faf41d356963ef65a18b26cd81f46b58502873b978ed57fa7,3100261
E1-2-T1,E1-2,zero-shot,T1,9,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-2/T1.json,cd0eb0cbe7efe5145ed4f78c3971264efbf0f5e2aab9861e946f7f9ed94213e3,19147
E1-2-T2,E1-2,zero-shot,T2,900,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-2/T2.json,629804d8be22955ccb2c9b55d5afbecacfca8a20758d79662aa3e3a626337f6a,2672485
E1-2-T3,E1-2,zero-shot,T3,52,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-2/T3.json,d59df2dc95def44acb937d2dda31f98e465d34f3107aaa2addadfdfeed54a47f,329328
E1-2-T4,E1-2,zero-shot,T4,961,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-2/T4.json,352678ca7a33d9fa324222ee5a1c45e56557ad18c1ca37ad59ff8823567e753a,2965165
E1-3-T1,E1-3,zero-shot,T1,12,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-3/T1.json,98e9f87e53ba5787662e8b82b4fe90024ccd990f68c9eaa274282e62dfe358dc,24463
E1-3-T2,E1-3,zero-shot,T2,900,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-3/T2.json,f65d43c3fafcfe1c71cc3be3a55fc46a13eefc2bea54b5a34f083a5f4ebabf39,1914952
E1-3-T3,E1-3,zero-shot,T3,52,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-3/T3.json,b737cd14b5d25a49e018ef124f53b102df992bc31f0753d00271d05f8479448a,362492
E1-3-T4,E1-3,zero-shot,T4,964,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E1-3/T4.json,76ee7515d2055bb3a1196eeb947264b3621805df665df4ff5c6248be747d31e2,2246089
E2-1-T1,E2-1,few-shot,T1,18,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-1/T1.json,15c9b9614045acd0e50ff8c894fbdeabe268f2501bd742aa4936763323f8b5cc,34977
E2-1-T2,E2-1,few-shot,T2,900,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-1/T2.json,da7cfb5a2b9445794f4dbe4f655ba398e4430f62b0be5304ded696dd244f2398,1981375
E2-1-T3,E2-1,few-shot,T3,32,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-1/T3.json,2fd02c299193c1ed49b64b5ebcb2ca19943ca8bfaa1b00a95615a566a84b00da,472772
E2-1-T4,E2-1,few-shot,T4,950,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-1/T4.json,32ba9a873ef4ce2a654293cc74f6b28f500c24b2ce170a809e265c10c3c2b0b9,2437178
E2-2-T1,E2-2,few-shot,T1,12,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-2/T1.json,9617981e8a6b66b0b7395f7f672267113da2e8774043ce576585bd009b174307,25311
E2-2-T2,E2-2,few-shot,T2,900,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-2/T2.json,d6b59ebb72a3c414974440864bb1443e77549a73460941394d607cfba5b32bef,4057653
E2-2-T3,E2-2,few-shot,T3,52,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-2/T3.json,69edec479968b1ac0aee764b1dbe5bb081736f4a7e2f1a48adaa2e815703331e,697418
E2-2-T4,E2-2,few-shot,T4,964,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-2/T4.json,3a229c08e312191ff5ee29c071cd079229d5381cf4753789c1a5acae684a3725,4724512
E2-3-T1,E2-3,few-shot,T1,15,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-3/T1.json,478acd088a4d769d5af3eaeb68b00bddfa86dea8dceef06a1a990942d8384b86,29055
E2-3-T2,E2-3,few-shot,T2,900,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/campaign-freeze-package-v3/E2-3/T2.json,3cfe3abe28b5562cc3fda8e284342b7cfff6d60ebc21421676c2486d12113bc2,4105662
