domain,errorClass,trials,targeted,detected,verdicts
accounts,duplication,1,1,1,"{""failed"": 1}"
accounts,missing_observation,1,0,0,"{""inconclusive"": 1}"
accounts,omission,1,1,1,"{""failed"": 1}"
accounts,partial_record,1,1,1,"{""failed"": 1}"
accounts,reordering,1,1,1,"{""failed"": 1}"
accounts,same_length_wrong_amount,1,1,1,"{""failed"": 1}"
accounts,unexpected_empty,1,1,1,"{""failed"": 1}"
interest,balance_not_updated,1,1,1,"{""failed"": 1}"
interest,cycle_not_reset,1,1,1,"{""failed"": 1}"
interest,duplication,1,1,1,"{""failed"": 1}"
interest,missing_observation,1,0,0,"{""inconclusive"": 1}"
interest,omission,1,1,1,"{""failed"": 1}"
interest,partial_record,1,1,1,"{""failed"": 1}"
interest,reordering,1,1,1,"{""failed"": 1}"
interest,same_length_wrong_amount,1,1,1,"{""failed"": 1}"
interest,unexpected_empty,1,1,1,"{""failed"": 1}"
posting,duplication,1,1,1,"{""failed"": 1}"
posting,excluded_processing_timestamp,1,0,0,"{""pass"": 1}"
posting,missing_observation,1,0,0,"{""inconclusive"": 1}"
posting,omission,1,1,1,"{""failed"": 1}"
posting,partial_record,1,1,1,"{""failed"": 1}"
posting,reordering,1,1,1,"{""failed"": 1}"
posting,same_length_wrong_amount,1,1,1,"{""failed"": 1}"
posting,shifted_money_or_date_boundary,4,4,4,"{""failed"": 4}"
posting,unexpected_empty,1,1,1,"{""failed"": 1}"
reporting,duplication,1,1,1,"{""failed"": 1}"
reporting,missing_observation,1,0,0,"{""inconclusive"": 1}"
reporting,omission,1,1,1,"{""failed"": 1}"
reporting,reordering,1,1,1,"{""failed"": 1}"
reporting,wrong_first_subtotal,1,1,1,"{""failed"": 1}"
reporting,wrong_grand_total,1,1,1,"{""failed"": 1}"
reporting,wrong_last_subtotal,1,1,1,"{""failed"": 1}"
