lane,strategy,contract,arm,track,applications,http,businessObserved,semanticStates,semanticStateUnknown,requestBodies,checkedApplications,checkVerdicts,provenanceErrors,collectorErrors
complementary,source-guided,E1-1,zero-shot,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 4, ""pass"": 2}",0,0
complementary,source-guided,E1-1,zero-shot,posting,6,"{""200"": 6}",6,6,0,6,6,"{""failed"": 1, ""pass"": 35}",0,0
complementary,source-guided,E1-1,zero-shot,reporting,4,"{""200"": 4}",4,4,0,4,4,"{""failed"": 2, ""not_exercised"": 2, ""pass"": 8}",0,0
complementary,source-guided,E1-2,zero-shot,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 4, ""pass"": 2}",0,0
complementary,source-guided,E1-2,zero-shot,posting,6,"{""200"": 6}",6,6,0,6,6,"{""failed"": 1, ""pass"": 35}",0,0
complementary,source-guided,E1-2,zero-shot,reporting,4,"{""200"": 4}",4,4,0,4,4,"{""failed"": 2, ""not_exercised"": 2, ""pass"": 8}",0,0
complementary,source-guided,E1-3,zero-shot,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 4, ""pass"": 2}",0,0
complementary,source-guided,E1-3,zero-shot,posting,6,"{""200"": 6}",6,6,0,6,6,"{""failed"": 1, ""pass"": 35}",0,0
complementary,source-guided,E1-3,zero-shot,reporting,4,"{""200"": 4}",4,4,0,4,4,"{""failed"": 2, ""not_exercised"": 2, ""pass"": 8}",0,0
complementary,source-guided,E2-1,few-shot,interest,2,"{""200"": 2}",0,0,2,1,0,{},0,2
complementary,source-guided,E2-1,few-shot,posting,6,"{""200"": 6}",0,0,6,6,0,{},0,6
complementary,source-guided,E2-1,few-shot,reporting,4,"{""200"": 2, ""400"": 2}",0,0,4,4,0,{},0,2
complementary,source-guided,E2-2,few-shot,interest,2,"{""200"": 2}",0,0,2,1,0,{},0,2
complementary,source-guided,E2-2,few-shot,posting,6,"{""200"": 6}",0,0,6,6,0,{},0,6
complementary,source-guided,E2-2,few-shot,reporting,4,"{""200"": 2, ""400"": 2}",0,0,4,4,0,{},0,2
complementary,source-guided,E2-3,few-shot,interest,2,"{""200"": 2}",0,0,2,1,0,{},0,2
complementary,source-guided,E2-3,few-shot,posting,6,"{""200"": 6}",0,0,6,6,0,{},0,6
complementary,source-guided,E2-3,few-shot,reporting,4,"{""200"": 2, ""400"": 2}",0,0,4,4,0,{},0,2
complementary,source-guided,E3-SDD-stage6r3,SDD,interest,2,"{""200"": 2}",0,0,2,1,0,{},0,2
complementary,source-guided,E3-SDD-stage6r3,SDD,posting,6,"{""200"": 6}",0,0,6,1,0,{},0,6
complementary,source-guided,E3-SDD-stage6r3,SDD,reporting,4,"{""200"": 4}",0,0,4,1,0,{},0,4
official,T1,E1-1,zero-shot,interest,4,"{""500"": 4}",0,0,4,4,0,{},0,0
official,T1,E1-1,zero-shot,posting,3,"{""500"": 3}",0,0,3,3,0,{},0,0
official,T1,E1-1,zero-shot,reporting,3,"{""500"": 3}",0,0,3,3,0,{},0,0
official,T1,E1-2,zero-shot,interest,3,"{""500"": 3}",0,0,3,3,0,{},0,0
