contract,track,T1,T2,T3,unionT123,exclusiveT1,exclusiveT2,exclusiveT3,incrementalT2_afterT1,incrementalT3_afterT12,overlapT1T2,overlapT1T3,overlapT2T3,overlapAll,T4_states,T4_not_in_union,union_not_in_T4
E1-1,interest,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E1-1,posting,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E1-1,reporting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1-2,interest,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E1-2,posting,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E1-2,reporting,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E1-3,interest,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E1-3,posting,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E1-3,reporting,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E2-1,interest,3,18,0,20,2,17,0,17,0,1,0,0,0,20,0,0
E2-1,posting,3,54,1,57,2,53,1,53,1,1,0,0,0,57,0,0
E2-1,reporting,4,12,1,15,2,10,1,10,1,2,0,0,0,15,0,0
E2-2,interest,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E2-2,posting,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
E2-2,reporting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2-3,interest,2,8,0,10,2,8,0,8,0,0,0,0,0,10,0,0
E2-3,posting,2,5,1,6,0,3,1,3,1,2,0,0,0,6,0,0
E2-3,reporting,2,3,1,5,1,2,1,2,1,1,0,0,0,5,0,0
E3-SDD-stage6r3,interest,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0
E3-SDD-stage6r3,posting,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0
E3-SDD-stage6r3,reporting,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0
